policy,channel,seed,start,horizon,b_probe,b_payload,metadata_noise,metadata_loss,debt_mode,rmse_mean,loss_mean,missed_violation_pct,metadata_seen_frac_mean,debt_changed_decision_pct,payload_success_pct,payload_fairness_jain,probe_fairness_jain,max_age,avg_age,max_payload_debt,window_id
caw_vou_full,severe_burst,50260,847,240,4,4,0.0,0.0,bounded,0.15165111377963728,0.0011453115774058575,0.01394700139470014,0.1333333333333333,98.32635983263599,73.74476987447699,0.9839329931313642,0.9998862194214684,14.0,5.3,0.10718270571827057,0
caw_vou_full,severe_burst,50260,847,240,4,4,0.0,0.0,accumulating,0.13922931899703267,0.0009676178953974895,0.01394700139470014,0.1333333333333333,99.16317991631799,73.74476987447699,0.9829171237443796,0.9998862194214684,24.0,5.666666666666667,0.10404463040446305,0
caw_vou_full,severe_burst,50277,2560,240,4,4,0.0,0.0,bounded,0.12216151033693898,0.010183350748953976,0.16736401673640167,0.1333333333333333,100.0,73.64016736401673,0.8678365238529314,0.8678365238529314,138.0,34.7,0.11136680613668061,1
caw_vou_full,severe_burst,50277,2560,240,4,4,0.0,0.0,accumulating,0.05359876445160709,0.006713427993026499,0.11157601115760112,0.1333333333333333,99.581589958159,73.64016736401673,0.9249053777804754,0.7805414638312403,52.0,10.066666666666666,0.11032078103207811,1
caw_vou_full,severe_burst,50294,3159,240,4,4,0.0,0.0,bounded,0.03462572935862502,0.0016827825285913522,0.02789400278940028,0.1333333333333333,100.0,75.83682008368201,0.9844417156767692,0.9844417156767692,117.0,11.566666666666666,0.10195258019525802,2
caw_vou_full,severe_burst,50294,3159,240,4,4,0.0,0.0,accumulating,0.028214827193016382,4.443076708507661e-06,0.0,0.1333333333333333,100.0,75.83682008368201,0.9841872886648995,0.9793780406781103,28.0,6.533333333333333,0.10299860529986053,2
caw_vou_full,severe_burst,50311,3788,240,4,4,0.0,0.0,bounded,0.08087983629336559,0.000877920080892608,0.01394700139470014,0.1333333333333333,99.16317991631799,70.7112970711297,0.9942083850053293,0.9998862194214684,18.0,5.3,0.10509065550906556,3
caw_vou_full,severe_burst,50311,3788,240,4,4,0.0,0.0,accumulating,0.08768955382344588,4.792217085076708e-05,0.0,0.1333333333333333,100.0,70.7112970711297,0.9951177021406317,0.9998862194214684,26.0,5.533333333333333,0.10404463040446305,3
caw_vou_full,severe_burst,50328,5317,240,4,4,0.0,0.0,bounded,0.07315093150769235,0.007596160478730822,0.12552301255230125,0.1333333333333333,100.0,72.28033472803347,0.9213250267142473,0.9214364930534541,189.0,34.2,0.10718270571827057,4
caw_vou_full,severe_burst,50328,5317,240,4,4,0.0,0.0,accumulating,0.03553457060753026,0.007543069798814504,0.12552301255230125,0.1333333333333333,100.0,72.28033472803347,0.9366209596425413,0.8755685846218688,23.0,8.066666666666666,0.10822873082287308,4
caw_vou_full,severe_burst,50345,5691,240,4,4,0.0,0.0,bounded,0.038705803503033216,0.007544911399232915,0.12552301255230125,0.1333333333333333,100.0,74.05857740585773,0.8929690858639143,0.8929690858639143,74.0,9.2,0.10404463040446305,5
caw_vou_full,severe_burst,50345,5691,240,4,4,0.0,0.0,accumulating,0.03634486265543489,0.007543886585076706,0.12552301255230125,0.1333333333333333,100.0,74.05857740585773,0.9134244822899167,0.8458610987709159,15.0,5.6,0.10718270571827057,5
