window_id,seed,policy,loss,rmse,missed_vio,runtime,max_age,jain_probe,jain_payload
0,50260,AoII+debt,0.00012109594839609475,0.12716239670285037,0.0,0.6890181505859724,46.0,0.9560800066951198,0.9560800066951198
0,50260,AoII+debt+threshold,0.0045802078870292905,0.7110716651781339,0.01394700139470014,0.655267041914017,193.0,0.5094403567447043,0.5094403567447043
0,50260,AoII-greedy,7.70825355648536e-05,0.11654694044586009,0.0,1.850891899620475,36.0,0.9275524702634668,0.9275524702634668
0,50260,CAW-VoU,0.0011453115774058575,0.15165111377963728,0.01394700139470014,128.55475123851875,14.0,0.9998862194214684,0.9839329931313642
0,50260,MaxWeight-AoI,0.0001676894128312412,0.12959547780048913,0.0,0.5526011297040888,14.0,0.9985752370962796,0.9962892711535515
0,50260,MaxWeight-VoU,0.0002330298535564854,0.16121520955588303,0.0,1.0816624686930516,53.0,0.8256418595407151,0.8496829735408409
0,50260,VoI+debt,0.008782424172942817,0.8973891761796496,0.01394700139470014,0.6179425481338615,239.0,0.4309595888150137,0.4311059538297529
0,50260,VoI-greedy,0.008871494691771268,0.9123934968407403,0.01394700139470014,0.6135536402085928,239.0,0.4175053904908086,0.4175053904908086
0,50260,Whittle-heuristic,0.008151525529986057,0.7985233703014971,0.0,1.3519375063586108,239.0,0.13417189298381602,0.5122327964040306
1,50277,AoII+debt,0.050212964694560665,0.026074471216158124,0.8368200836820083,0.5728061924441075,19.0,0.9392777126883302,0.9392777126883302
1,50277,AoII+debt+threshold,0.050212964694560665,0.026074471216158124,0.8368200836820083,0.6805651213059973,19.0,0.9392777126883302,0.9392777126883302
1,50277,AoII-greedy,0.058581665440725246,0.027839604389543672,0.9762900976290098,0.6172825313449903,19.0,0.8518211982254028,0.8518211982254028
1,50277,CAW-VoU,0.010183350748953976,0.12216151033693898,0.16736401673640167,130.68631394555848,138.0,0.8678365238529314,0.8678365238529314
1,50277,MaxWeight-AoI,0.08034209293165968,0.035812535851516294,1.3389121338912133,0.5537189288010284,14.0,0.9985752370962796,0.996484800907147
1,50277,MaxWeight-VoU,0.01008849091771269,0.08696032380916713,0.16736401673640167,1.1021656275991834,133.0,0.6821130565880013,0.6875628178508015
1,50277,VoI+debt,0.331173138432357,0.2516353752210086,5.509065550906555,1.256300757247487,239.0,0.4262562380485983,0.4262562380485983
1,50277,VoI-greedy,0.3286662499874477,0.25422390128380423,5.467224546722455,0.7124605021638227,239.0,0.4133810971196988,0.4133810971196988
1,50277,Whittle-heuristic,0.4181230539693166,0.2427643403329473,6.95955369595537,1.0998923681962798,239.0,0.16430369187844268,0.499467707206173
2,50294,AoII+debt,0.010043131337517431,0.015227091671418778,0.16736401673640167,0.5719845815684459,26.0,0.9445195427957246,0.9445195427957246
2,50294,AoII+debt+threshold,0.010043131337517431,0.015227091671418778,0.16736401673640167,0.6779977782906099,26.0,0.9445195427957246,0.9445195427957246
2,50294,AoII-greedy,0.013390781940027888,0.016916318568808295,0.22315202231520223,0.579639882892643,39.0,0.667028668184737,0.667028668184737
2,50294,CAW-VoU,0.0016827825285913522,0.03462572935862502,0.02789400278940028,131.27674391212147,117.0,0.9844417156767692,0.9844417156767692
2,50294,MaxWeight-AoI,0.032638981557880045,0.02357170474179793,0.5439330543933054,0.5396357739917061,10.0,0.9985752370962796,0.9962892711535515
2,50294,MaxWeight-VoU,0.008372802121338912,0.027623305411192556,0.1394700139470014,1.8635060251924251,33.0,0.839520870076425,0.8552168135796223
