dataset,window_id,seed,policy,loss,rmse,missed_vio,max_age,jain_payload
beijing,11,50447,VoI+debt,0.19190250157134212,2.297552093835644,3.1380753138075312,5.0,0.9942213635493349
beijing,11,50447,VoI-greedy,0.1856173351047258,2.294729014483746,3.0334728033472804,5.0,0.9941954068001625
beijing,11,50447,Whittle-heuristic,0.15238429412607604,4.104645530963798,2.2663877266387726,208.0,0.8162533313327468
beijing,12,50464,AoII+debt,0.21095264373636224,2.9293995113656917,3.417015341701534,9.0,0.998287282196472
beijing,12,50464,AoII-greedy,0.2173056203413986,2.9278470081180683,3.5216178521617856,13.0,0.9428941656143468
beijing,12,50464,CAW-VoU,0.1798584007933444,2.9922546307832185,2.894002789400279,6.0,0.9997024747103492
beijing,12,50464,MaxWeight-AoI,0.2177964879691722,2.5370154933907485,3.556485355648536,5.0,0.9984181501970746
beijing,12,50464,MaxWeight-VoU,0.1586855336491981,3.3968603029081748,2.510460251046025,5.0,0.9876459959713314
beijing,12,50464,VoI+debt,0.21977118014541966,2.501661045437676,3.5913528591352857,5.0,0.9892880956710732
beijing,12,50464,VoI-greedy,0.22379983875220674,2.4581390922517046,3.6610878661087867,5.0,0.988415050916672
beijing,12,50464,Whittle-heuristic,0.24053078766163158,3.410754194071267,3.8354253835425385,230.0,0.7463724087467246
beijing,13,50481,AoII+debt,0.008147081026925788,3.4499907105976195,0.0,10.0,0.9950786972919758
beijing,13,50481,AoII-greedy,0.009108545500769269,3.6115873183743257,0.0,10.0,0.9715942916432776
beijing,13,50481,CAW-VoU,0.007157306866157782,3.2257190974707206,0.0,5.0,0.9986276103812085
beijing,13,50481,MaxWeight-AoI,0.0057385090267683,2.892252602527424,0.0,3.0,0.9987585676318355
beijing,13,50481,MaxWeight-VoU,0.007698121719065355,3.2534331176364564,0.0,233.0,0.8697989234294929
beijing,13,50481,VoI+debt,0.005251584788634269,2.7670341493529556,0.0,3.0,0.9948447323963274
beijing,13,50481,VoI-greedy,0.005301983637657002,2.7781081220239567,0.0,3.0,0.9925111203780917
beijing,13,50481,Whittle-heuristic,0.03042035116885445,5.533717491088822,0.0,221.0,0.8072213389860442
beijing,14,50498,AoII+debt,0.1088528973806984,1.7595347609355125,1.778242677824268,5.0,0.9997812141738198
beijing,14,50498,AoII-greedy,0.146754693011609,1.8329941998604828,2.405857740585774,16.0,0.7627880268947507
beijing,14,50498,CAW-VoU,0.11604104302755798,2.103440429775608,1.882845188284519,7.0,0.9992302982594233
