dataset,window_id,seed,policy,loss,rmse,missed_vio,max_age,jain_payload
keti,0,50260,AoII+debt,0.0789593126364784,0.15982388795275887,1.2761506276150627,239.0,0.7921370128969624
keti,0,50260,AoII-greedy,0.05134754714855077,0.16498929730255227,0.8158995815899581,239.0,0.7582769149077387
keti,0,50260,CAW-VoU,0.021511884436064277,0.22192695956792127,0.2615062761506276,29.0,0.842865574738084
keti,0,50260,MaxWeight-AoI,0.04245296022155315,0.14049274491568808,0.6799163179916319,21.0,0.9951393728222985
keti,0,50260,MaxWeight-VoU,0.0380160046333791,0.33920459702006883,0.4811715481171548,239.0,0.3042801970968171
keti,0,50260,VoI+debt,0.10672264503846048,0.38318264157897997,1.6317991631799162,239.0,0.26330928619171634
keti,0,50260,VoI-greedy,0.1262028279653425,0.47396474085076756,1.8410041841004186,239.0,0.2347759967118783
keti,0,50260,Whittle-heuristic,0.1813201177338899,0.4515175327506487,2.782426778242678,239.0,0.26589549633422543
keti,1,50277,AoII+debt,0.010782915411803136,0.14465144523129342,0.14644351464435146,239.0,0.6391518406624143
keti,1,50277,AoII-greedy,0.020154693722645466,0.14247724824408103,0.303347280334728,239.0,0.6520662100456617
keti,1,50277,CAW-VoU,0.011949005722732563,0.181935763484025,0.14644351464435146,30.0,0.9521753625604257
keti,1,50277,MaxWeight-AoI,0.0118839027240973,0.14400683578467458,0.16736401673640167,19.0,0.996354439211581
keti,1,50277,MaxWeight-VoU,0.02479138005234555,0.3006197827116113,0.2928870292887029,239.0,0.3001471283695023
keti,1,50277,VoI+debt,0.04139911552603451,0.28932299101499437,0.5648535564853557,239.0,0.25982396688576037
keti,1,50277,VoI-greedy,0.126782836396328,0.44433488542684046,1.8096234309623431,239.0,0.23541945720938853
keti,1,50277,Whittle-heuristic,0.11890587400185108,0.3483112535490161,1.788702928870293,239.0,0.2695276742320577
keti,2,50294,AoII+debt,0.005404770330557855,0.1552246491401578,0.05230125523012552,239.0,0.6025104161172931
keti,2,50294,AoII-greedy,0.018909155962904246,0.16502324783990563,0.2719665271966527,239.0,0.6035289767024139
keti,2,50294,CAW-VoU,0.003813854861263662,0.16309218958153732,0.02092050209205021,25.0,0.9065386446595769
keti,2,50294,MaxWeight-AoI,0.023121646140367963,0.13643051656612185,0.35564853556485354,19.0,0.9928906657396129
keti,2,50294,MaxWeight-VoU,0.013905886474389399,0.32884191806159013,0.08368200836820083,239.0,0.30210762924765294
keti,2,50294,VoI+debt,0.14544947723021967,0.34471862157557454,2.2489539748953975,239.0,0.2592520310443425
keti,2,50294,VoI-greedy,0.15534789670916205,0.46088640134663733,2.2489539748953975,239.0,0.23406888356178412
keti,2,50294,Whittle-heuristic,0.1388261801475027,0.36205540351180565,2.112970711297071,239.0,0.2686782690498588
keti,3,50311,AoII+debt,0.0027258540937020134,0.11910102667668099,0.02092050209205021,62.0,0.6532220252730283
keti,3,50311,AoII-greedy,0.014023105238138172,0.11837122259366821,0.20920502092050208,239.0,0.6523640931932385
keti,3,50311,CAW-VoU,0.015252829606432284,0.14351520080150348,0.21966527196652721,30.0,0.8387196241098297
keti,3,50311,MaxWeight-AoI,0.02743084937196302,0.13018255363534847,0.42887029288702927,16.0,0.9941002436477538
keti,3,50311,MaxWeight-VoU,0.03398600259236288,0.34175047515674367,0.39748953974895396,239.0,0.28252547235137
keti,3,50311,VoI+debt,0.012127881431721213,0.3170993769385902,0.08368200836820083,239.0,0.2511420343379718
keti,3,50311,VoI-greedy,0.02120360799569605,0.3840917705460897,0.16736401673640167,239.0,0.2284977098625917
keti,3,50311,Whittle-heuristic,0.010122484714192321,0.3465549519506144,0.02092050209205021,239.0,0.2749771337794251
keti,4,50328,AoII+debt,0.0016658627252493865,0.07326803996025096,0.02092050209205021,117.0,0.7327902501603587
keti,4,50328,AoII-greedy,0.006178257697829605,0.0831712422347223,0.09414225941422594,239.0,0.7258068614993641
keti,4,50328,CAW-VoU,0.0029905856727134995,0.11437472307334315,0.03138075313807531,48.0,0.7570709078860166
keti,4,50328,MaxWeight-AoI,0.006859287905751292,0.08686988813533865,0.10460251046025104,23.0,0.9940137474984762
keti,4,50328,MaxWeight-VoU,0.006754173384693738,0.22014678710959174,0.03138075313807531,239.0,0.2852840554376326
keti,4,50328,VoI+debt,0.009711247126112457,0.2587978672638474,0.06276150627615062,239.0,0.255941392597903
keti,4,50328,VoI-greedy,0.013990365148164145,0.35267708498827915,0.03138075313807531,239.0,0.23124974697380668
keti,4,50328,Whittle-heuristic,0.010226041976432714,0.31128261500232424,0.010460251046025104,239.0,0.23608596817524277
keti,5,50345,AoII+debt,0.00476747988719319,0.07096949960065742,0.07322175732217573,239.0,0.7408209584333046
