policy,channel,seed,start,horizon,b_probe,b_payload,metadata_noise,metadata_loss,rmse_mean,loss_mean,missed_violation_pct,metadata_seen_frac_mean,debt_changed_decision_pct,payload_success_pct,payload_fairness_jain,probe_fairness_jain,max_age,avg_age,max_payload_debt,window_id,variant
ablation_full,severe_burst,50260,847,240,4,4,0.0,0.0,0.15165111377963728,0.0011453115774058575,0.01394700139470014,0.1333333333333333,98.32635983263599,73.74476987447699,0.9839329931313642,0.9998862194214684,14.0,5.3,0.10718270571827057,0,Full (corr+debt)
ablation_vou_only,severe_burst,50260,847,240,4,4,0.0,0.0,0.18460047683415992,0.0005158370097629011,0.0,0.1333333333333333,98.74476987447699,73.74476987447699,0.8341419783509476,0.3835587003416176,25.0,6.366666666666666,0.11032078103207811,0,VoU-only (R=I)
ablation_corr_nodebt,severe_burst,50260,847,240,4,4,0.0,0.0,0.1883689405271745,0.0005543380934449094,0.0,0.1333333333333333,96.65271966527196,73.74476987447699,0.8480745318560577,0.3884097882720927,65.0,7.633333333333334,0.11032078103207811,0,+corr -debt
ablation_debt_nocorr,severe_burst,50260,847,240,4,4,0.0,0.0,0.15148258336193768,0.001144803262203626,0.01394700139470014,0.1333333333333333,97.48953974895397,73.74476987447699,0.9832343575178576,0.9998862194214684,15.0,5.9,0.10613668061366806,0,+debt -corr
ablation_full,severe_burst,50277,2560,240,4,4,0.0,0.0,0.12216151033693898,0.010183350748953976,0.16736401673640167,0.1333333333333333,100.0,73.64016736401673,0.8678365238529314,0.8678365238529314,138.0,34.7,0.11136680613668061,1,Full (corr+debt)
ablation_vou_only,severe_burst,50277,2560,240,4,4,0.0,0.0,0.16003243445404683,0.05544534165550907,0.9205020920502093,0.1333333333333333,100.0,73.64016736401673,0.5038624811176163,0.4836868622718995,238.0,70.3,0.13228730822873083,1,VoU-only (R=I)
ablation_corr_nodebt,severe_burst,50277,2560,240,4,4,0.0,0.0,0.1709431505651197,0.08227283937935843,1.3668061366806137,0.1333333333333333,100.0,73.64016736401673,0.4955516515930333,0.47703694424436,238.0,76.1,0.13228730822873083,1,+corr -debt
ablation_debt_nocorr,severe_burst,50277,2560,240,4,4,0.0,0.0,0.12673135409087952,0.010192594458856345,0.16736401673640167,0.1333333333333333,100.0,73.64016736401673,0.8445947694298117,0.8445947694298117,138.0,34.03333333333333,0.11241283124128312,1,+debt -corr
ablation_full,severe_burst,50294,3159,240,4,4,0.0,0.0,0.03462572935862502,0.0016827825285913522,0.02789400278940028,0.1333333333333333,100.0,75.83682008368201,0.9844417156767692,0.9844417156767692,117.0,11.566666666666666,0.10195258019525802,2,Full (corr+debt)
ablation_vou_only,severe_burst,50294,3159,240,4,4,0.0,0.0,0.10916592129427563,0.1624693102566248,2.7057182705718272,0.1333333333333333,100.0,75.83682008368201,0.5863525547257933,0.5852711391172926,239.0,85.63333333333334,0.13333333333333333,2,VoU-only (R=I)
ablation_corr_nodebt,severe_burst,50294,3159,240,4,4,0.0,0.0,0.10944665901635243,0.16246920733612272,2.7057182705718272,0.1333333333333333,100.0,75.83682008368201,0.5874379740326516,0.5867591165896248,239.0,85.56666666666666,0.13333333333333333,2,+corr -debt
ablation_debt_nocorr,severe_burst,50294,3159,240,4,4,0.0,0.0,0.035275956901136475,0.001683210885634588,0.02789400278940028,0.1333333333333333,100.0,75.83682008368201,0.9810180116356443,0.9810180116356443,117.0,11.5,0.10195258019525802,2,+debt -corr
ablation_full,severe_burst,50311,3788,240,4,4,0.0,0.0,0.08087983629336559,0.000877920080892608,0.01394700139470014,0.1333333333333333,99.16317991631799,70.7112970711297,0.9942083850053293,0.9998862194214684,18.0,5.3,0.10509065550906556,3,Full (corr+debt)
ablation_vou_only,severe_burst,50311,3788,240,4,4,0.0,0.0,0.09202687563559006,5.3939808228730754e-05,0.0,0.1333333333333333,99.581589958159,70.7112970711297,0.8072641192785338,0.45132641975308624,14.0,4.733333333333333,0.11555090655509066,3,VoU-only (R=I)
ablation_corr_nodebt,severe_burst,50311,3788,240,4,4,0.0,0.0,0.09202687563559006,5.3939808228730754e-05,0.0,0.1333333333333333,99.581589958159,70.7112970711297,0.8072641192785338,0.45132641975308624,14.0,4.733333333333333,0.11555090655509066,3,+corr -debt
ablation_debt_nocorr,severe_burst,50311,3788,240,4,4,0.0,0.0,0.08163426869684433,0.0008784414490934447,0.01394700139470014,0.1333333333333333,99.16317991631799,70.7112970711297,0.9938840314933217,0.9998862194214684,18.0,5.3,0.10509065550906556,3,+debt -corr
ablation_full,severe_burst,50328,5317,240,4,4,0.0,0.0,0.07315093150769235,0.007596160478730822,0.12552301255230125,0.1333333333333333,100.0,72.28033472803347,0.9213250267142473,0.9214364930534541,189.0,34.2,0.10718270571827057,4,Full (corr+debt)
ablation_vou_only,severe_burst,50328,5317,240,4,4,0.0,0.0,0.10174924856339515,0.008490320745118548,0.1394700139470014,0.1333333333333333,100.0,72.28033472803347,0.5335294804436658,0.5166107060087047,238.0,70.1,0.13228730822873083,4,VoU-only (R=I)
ablation_corr_nodebt,severe_burst,50328,5317,240,4,4,0.0,0.0,0.1307345855104423,0.11830672322384934,1.9665271966527196,0.1333333333333333,100.0,72.28033472803347,0.5288063414916389,0.5140825739678251,239.0,79.7,0.13228730822873083,4,+corr -debt
ablation_debt_nocorr,severe_burst,50328,5317,240,4,4,0.0,0.0,0.07079332125035596,0.008428021892259415,0.1394700139470014,0.1333333333333333,100.0,72.28033472803347,0.9145762033423387,0.9149607560467714,189.0,34.9,0.10718270571827057,4,+debt -corr
