b_probe,policy,n_windows,loss_mean,loss_ci95,rmse_mean,rmse_ci95,missed_vio_mean,missed_vio_ci95
2,CAW-VoU,12,0.0038945435724372372,0.00323591880494394,0.14576469814439993,0.08766810746483238,0.06043700604370061,0.05095637671863438
2,VoU,12,0.0036909020151092513,0.0028386491535035705,0.15603283966604564,0.09788925873036486,0.05578800557880056,0.04425761428351788
4,CAW-VoU,12,0.004369481603992329,0.0035784225875019906,0.16860338337514488,0.10436157721903502,0.06624825662482565,0.05478861078965068
4,VoU,12,0.027892400852219907,0.03938052619385365,0.2094116991763044,0.12054704389920347,0.4532775453277546,0.6564508160883247
6,CAW-VoU,12,0.002252238834350302,0.0016571291842072053,0.18486492024756518,0.10531029539507081,0.030218503021850297,0.021236760692157363
6,VoU,12,0.028149299485762436,0.04050271883029063,0.2308255561992427,0.12822136570241296,0.4556020455602045,0.6753815755052168
8,CAW-VoU,12,0.008757704038644816,0.01072661253579993,0.20404933242095344,0.11848646203146021,0.13598326359832635,0.1783089595591986
8,VoU,12,0.023937856334815207,0.031192128527152203,0.2544666985298861,0.1226972168643565,0.3823802882380288,0.5212300824529742
