metric,stat,CAW_VoU,Whittle,ratio_Whittle_over_CAW
Loss,P50,0.0010865066996164,0.012110441141910702,11.146218560995887
Loss,P90,0.006943305629149161,0.30027465462032765,43.246642256351834
Loss,P99,0.009433065570589204,0.4911113186807358,52.06274831926778
Loss,max,0.0101833507489539,0.5209234268023013,51.15442251223783
Loss,mean,0.002381934511476222,0.09320344709274106,39.129307142444276
Missed-vio (%),P50,0.0139470013947001,0.02789400278940025,2.0000000000000036
Missed-vio (%),P90,0.11297071129707113,5.001394700139469,44.2716049382716
Missed-vio (%),P99,0.15523012552301252,8.177545327754533,52.68014375561547
Missed-vio (%),max,0.1673640167364016,8.675034867503486,51.83333333333335
Missed-vio (%),mean,0.03672710367271034,1.4463040446304045,39.379746835443065
