N,policy,n_windows,loss_mean,loss_ci95,rmse_mean,rmse_ci95,missed_vio_mean,missed_vio_ci95
30,CAW-VoU,12,0.004369481603992329,0.0035784225875019906,0.16860338337514488,0.10436157721903502,0.06624825662482565,0.05478861078965068
30,VoU,12,0.027892400852219907,0.03938052619385365,0.2094116991763044,0.12054704389920347,0.4532775453277546,0.6564508160883247
50,CAW-VoU,12,0.012890760511768871,0.00691465647830624,0.3332799899583541,0.05030809575480352,0.19177126917712695,0.11172523905593615
50,VoU,12,0.010611048313503213,0.009143673170856645,0.3370004196227929,0.05685903834586872,0.15271966527196654,0.14291697535448228
100,CAW-VoU,12,0.021091061439324623,0.01093096707527307,0.4967388264680552,0.053082485723696,0.30195258019525806,0.17064487657568267
100,VoU,12,0.015135146545029137,0.009668629157977069,0.6005498574141834,0.07028644279349298,0.1718967921896792,0.1416599867683509
